id,gender,age,height,weight,bmr,activity_level,tdee
1,Male,57,175,71,1523.75,Sedentary,1828.5
2,Female,24,174,51,1316.5,Very Active,2270.9625
3,Male,49,188,80,1735.0,Lightly Active,2385.625
4,Male,65,163,84,1538.75,Lightly Active,2115.78125
5,Male,36,209,89,2021.25,Lightly Active,2779.21875
6,Female,23,171,53,1322.75,Moderately Active,2050.2625000000003
7,Male,37,190,69,1697.5,Moderately Active,2631.125
8,Male,44,176,62,1505.0,Super Active,2859.5
9,Male,60,169,72,1481.25,Super Active,2814.375
10,Female,54,170,67,1301.5,Super Active,2472.85
11,Male,65,200,77,1700.0,Lightly Active,2337.5
12,Male,24,174,83,1802.5,Lightly Active,2478.4375
13,Male,22,203,73,1893.75,Lightly Active,2603.90625
14,Male,28,190,98,2032.5,Sedentary,2439.0
15,Female,32,158,72,1386.5,Sedentary,1663.8
16,Male,20,200,75,1905.0,Lightly Active,2619.375
17,Female,22,160,62,1349.0,Very Active,2327.025
18,Female,40,181,64,1410.25,Super Active,2679.475
19,Female,54,160,67,1239.0,Moderately Active,1920.45
20,Male,26,197,60,1706.25,Super Active,3241.875
21,Female,32,164,62,1324.0,Very Active,2283.9
22,Male,20,195,72,1843.75,Sedentary,2212.5
23,Female,46,184,80,1559.0,Lightly Active,2143.625
24,Female,23,166,80,1561.5,Sedentary,1873.8
25,Female,34,174,51,1266.5,Sedentary,1519.8
26,Female,43,184,75,1524.0,Very Active,2628.9
27,Female,38,168,56,1259.0,Sedentary,1510.8
28,Female,25,190,58,1481.5,Sedentary,1777.8
29,Female,38,180,68,1454.0,Super Active,2762.6
30,Female,28,166,63,1366.5,Super Active,2596.35
31,Male,55,160,62,1350.0,Very Active,2328.75
32,Male,25,176,63,1610.0,Lightly Active,2213.75
33,Female,59,159,69,1227.75,Super Active,2332.725
34,Female,41,157,60,1215.25,Sedentary,1458.3
35,Female,52,175,71,1382.75,Moderately Active,2143.2625000000003
36,Male,31,173,77,1701.25,Super Active,3232.375
37,Female,31,168,61,1344.0,Moderately Active,2083.2000000000003
38,Male,27,162,98,1862.5,Lightly Active,2560.9375
39,Male,29,193,85,1916.25,Sedentary,2299.5
40,Male,55,199,83,1803.75,Super Active,3427.125
41,Male,61,184,60,1450.0,Lightly Active,1993.75
42,Male,63,161,93,1626.25,Very Active,2805.28125
43,Female,51,169,66,1300.25,Lightly Active,1787.84375
44,Female,58,179,57,1237.75,Very Active,2135.11875
45,Female,27,154,73,1396.5,Very Active,2408.9625
46,Female,34,152,76,1379.0,Super Active,2620.1
47,Female,34,181,57,1370.25,Moderately Active,2123.8875000000003
48,Male,20,179,87,1893.75,Very Active,3266.71875
49,Female,48,154,61,1171.5,Sedentary,1405.8
50,Female,18,160,79,1539.0,Super Active,2924.1
51,Male,29,184,89,1900.0,Very Active,3277.5
52,Female,56,153,68,1195.25,Super Active,2270.975
53,Male,21,203,81,1978.75,Sedentary,2374.5
54,Female,59,168,73,1324.0,Super Active,2515.6
55,Male,30,168,73,1635.0,Super Active,3106.5
56,Female,51,172,73,1389.0,Very Active,2396.025
57,Female,59,166,77,1351.5,Lightly Active,1858.3125
58,Male,38,185,99,1961.25,Super Active,3726.375
59,Male,39,196,72,1755.0,Very Active,3027.375
60,Male,21,175,89,1883.75,Sedentary,2260.5
61,Male,35,196,78,1835.0,Sedentary,2202.0
62,Male,22,171,100,1963.75,Lightly Active,2700.15625
63,Male,36,183,98,1948.75,Sedentary,2338.5
64,Male,19,185,62,1686.25,Very Active,2908.78125
65,Male,29,179,90,1878.75,Lightly Active,2583.28125
66,Female,34,151,58,1192.75,Very Active,2057.49375
67,Female,27,153,75,1410.25,Lightly Active,1939.09375
68,Male,51,198,97,1957.5,Lightly Active,2691.5625
69,Female,23,153,74,1420.25,Very Active,2449.93125
70,Female,25,158,65,1351.5,Lightly Active,1858.3125
71,Female,28,170,75,1511.5,Very Active,2607.3375
72,Female,29,172,71,1479.0,Sedentary,1774.8
73,Male,26,182,83,1842.5,Sedentary,2211.0
74,Female,19,152,57,1264.0,Super Active,2401.6
75,Male,25,186,77,1812.5,Moderately Active,2809.375
76,Female,28,175,58,1372.75,Moderately Active,2127.7625000000003
77,Female,53,156,80,1349.0,Sedentary,1618.8
78,Female,27,185,73,1590.25,Super Active,3021.475
79,Male,38,194,83,1857.5,Moderately Active,2879.125
80,Female,37,185,62,1430.25,Very Active,2467.18125
81,Male,65,166,95,1667.5,Very Active,2876.4375
82,Female,25,172,77,1559.0,Lightly Active,2143.625
83,Male,53,169,98,1776.25,Moderately Active,2753.1875
84,Female,46,190,74,1536.5,Very Active,2650.4625
85,Male,59,174,84,1637.5,Moderately Active,2538.125
86,Male,29,189,97,2011.25,Lightly Active,2765.46875
87,Female,31,177,72,1510.25,Sedentary,1812.3
88,Male,65,172,63,1385.0,Super Active,2631.5
89,Female,38,159,72,1362.75,Lightly Active,1873.78125
90,Female,39,176,59,1334.0,Lightly Active,1834.25
91,Female,38,164,70,1374.0,Lightly Active,1889.25
92,Female,61,166,76,1331.5,Super Active,2529.85
93,Female,47,188,75,1529.0,Very Active,2637.525
94,Female,56,184,54,1249.0,Moderately Active,1935.95
95,Female,37,154,66,1276.5,Sedentary,1531.8
96,Female,41,165,51,1175.25,Sedentary,1410.3
97,Female,40,172,58,1294.0,Super Active,2458.6
98,Female,24,188,51,1404.0,Sedentary,1684.8
99,Female,26,158,59,1286.5,Super Active,2444.35
100,Male,18,193,89,2011.25,Super Active,3821.375
101,Male,43,207,66,1743.75,Moderately Active,2702.8125
102,Female,55,189,51,1255.25,Moderately Active,1945.6375
103,Female,55,173,64,1285.25,Super Active,2441.975
104,Female,61,173,74,1355.25,Moderately Active,2100.6375000000003
105,Female,39,173,52,1245.25,Very Active,2148.05625
106,Female,61,168,51,1094.0,Lightly Active,1504.25
107,Female,27,188,56,1439.0,Sedentary,1726.8
108,Female,23,174,77,1581.5,Sedentary,1897.8
109,Female,34,180,58,1374.0,Sedentary,1648.8
110,Male,55,171,73,1528.75,Sedentary,1834.5
111,Female,41,174,78,1501.5,Very Active,2590.0875
112,Male,27,187,64,1678.75,Very Active,2895.84375
113,Female,25,181,77,1615.25,Lightly Active,2220.96875
114,Female,38,160,65,1299.0,Super Active,2468.1
115,Male,23,169,89,1836.25,Moderately Active,2846.1875
116,Female,38,182,78,1566.5,Lightly Active,2153.9375
117,Male,56,186,85,1737.5,Sedentary,2085.0
118,Female,41,165,52,1185.25,Moderately Active,1837.1375
119,Female,50,184,60,1339.0,Lightly Active,1841.125
120,Male,35,201,81,1896.25,Sedentary,2275.5
121,Female,45,160,64,1254.0,Lightly Active,1724.25
122,Male,49,165,100,1791.25,Sedentary,2149.5
123,Female,29,183,56,1397.75,Sedentary,1677.3
124,Male,65,193,79,1676.25,Very Active,2891.53125
125,Male,59,198,87,1817.5,Sedentary,2181.0
126,Female,44,174,74,1446.5,Lightly Active,1988.9375
127,Female,27,178,68,1496.5,Moderately Active,2319.5750000000003
128,Male,63,180,87,1685.0,Very Active,2906.625
129,Female,59,162,52,1076.5,Moderately Active,1668.575
130,Female,49,181,79,1515.25,Super Active,2878.975
131,Female,59,183,60,1287.75,Moderately Active,1996.0125
132,Male,43,163,68,1488.75,Super Active,2828.625
133,Male,42,172,93,1800.0,Super Active,3420.0
134,Male,28,177,98,1951.25,Very Active,3365.90625
135,Male,40,188,93,1910.0,Moderately Active,2960.5
136,Male,51,184,72,1620.0,Sedentary,1944.0
137,Male,57,172,88,1675.0,Very Active,2889.375
138,Male,40,186,94,1907.5,Very Active,3290.4375
139,Male,46,178,69,1577.5,Sedentary,1893.0
140,Male,48,208,89,1955.0,Moderately Active,3030.25
141,Female,24,154,53,1211.5,Very Active,2089.8375
142,Male,57,197,94,1891.25,Super Active,3593.375
143,Female,50,159,62,1202.75,Sedentary,1443.3
144,Female,38,163,55,1217.75,Lightly Active,1674.40625
145,Female,19,173,59,1415.25,Very Active,2441.30625
146,Male,35,176,62,1550.0,Super Active,2945.0
147,Male,64,180,88,1690.0,Moderately Active,2619.5
148,Male,50,181,61,1496.25,Moderately Active,2319.1875
149,Male,54,174,81,1632.5,Sedentary,1959.0
150,Female,51,186,62,1366.5,Super Active,2596.35
151,Male,37,198,81,1867.5,Sedentary,2241.0
152,Male,52,207,69,1728.75,Very Active,2982.09375
153,Male,35,198,78,1847.5,Sedentary,2217.0
154,Male,63,191,83,1713.75,Lightly Active,2356.40625
155,Male,41,208,86,1960.0,Sedentary,2352.0
156,Female,25,173,59,1385.25,Sedentary,1662.3
157,Male,47,203,76,1798.75,Very Active,3102.84375
158,Female,61,176,54,1174.0,Super Active,2230.6
159,Male,27,191,76,1823.75,Lightly Active,2507.65625
160,Female,40,178,78,1531.5,Sedentary,1837.8
161,Male,28,160,69,1555.0,Very Active,2682.375
162,Male,19,192,97,2080.0,Very Active,3588.0
163,Female,43,168,57,1244.0,Very Active,2145.9
164,Female,53,177,75,1430.25,Super Active,2717.475
165,Female,50,188,57,1334.0,Sedentary,1600.8
166,Male,64,175,93,1708.75,Moderately Active,2648.5625
167,Female,30,175,54,1322.75,Lightly Active,1818.78125
168,Male,57,206,86,1867.5,Moderately Active,2894.625
169,Male,42,165,80,1626.25,Super Active,3089.875
