"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","eids-badge__description","he-lazy-image src","eids-badge__label","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/21218-4681","23","60.000","02-03-2025","İstanbul Kiralık Daire","3 +
                          1","117 m²","Sıfır Bina","3. Kat","Bahçelievler Aka Koleji Yakını Sıfır, Kapalı Otoparklı, Ebeveyn Banyolu, Lüx 3+1 Kiralık Daire","İstanbul / Bahçelievler / Bahçelievler Mah.","","","","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maden-kiralik/daire/33208-5857","32","150.000","02-03-2025","İstanbul Kiralık Daire","4 +
                          1","270 m²","7
                        Yaşında","2. Kat","Diamond Projeden Sarıyer Maden De Kiralık 4+1 Çatı Dubleksi 270 M2 Prestijli Sitede...","İstanbul / Sarıyer / Maden Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/diamond-proje-33208","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/2/3/3/0/321b027e-3779-4664-8030-ff733407c07f.jpg","Diamond Proje",""
"https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-kiralik/daire/1006-19147","14","55.000","26-02-2025","İstanbul Kiralık Daire","3 +
                          1","165 m²","31
                        Yaşında","1. Kat","Ayşe Kadın Metro Duragına Yakın Kiralık Boş 3+1 Daire","İstanbul / Kadıköy / Suadiye Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/mega-emlak-1006","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/0/0/1/0/0/153bf4ed-dd5f-40d0-b538-0fbd2187edde.jpg","Mega Emlak",""
"https://www.hepsiemlak.com/istanbul-esenyurt-pinar-kiralik/daire/6904-13760","12","11.000","28-02-2025","İstanbul Kiralık Daire","2 +
                          1","100 m²","10
                        Yaşında","4. Kat","Pınar Mahallesi Ön Cephe Balkonlu 2+1 Ara Kat Kiralık Daire","İstanbul / Esenyurt / Pınar Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/istanbul-34-gayrimenkul-6904/istanbul-gayrimenkul-6904","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/4/7/9/0/4/4/d419bc39-7c29-4b86-b3c9-a3b8a6da34d4.jpg","İstanbul 34 Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/0/9/6/0/0/9d9315b1-e2c9-4084-b597-531175538a7b.jpg"
"https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/33341-4886","17","40.000","04-03-2025","İstanbul Kiralık Daire","2 +
                          1","120 m²","30
                        Yaşında","Bahçe Katı","Kayalardan Florya Merkezde  Müstakil Girişli 2+1 Bahçe Kat","İstanbul / Bakırköy / Şenlikköy Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/kayalar-emlak-florya-bolu-33341","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/2/3/0/2/4/4/1739784054-396405-44203235.jpeg","Kayalar Emlak Florya & Bolu","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/4/3/3/3/0/e300d95a-8bb9-44a4-9174-83cbc75aca10.jpg"
"https://www.hepsiemlak.com/istanbul-beykoz-ruzgarlibahce-kiralik/daire/0-44266188","15","25.000","02-03-2025","İstanbul Kiralık Daire","3 +
                          1","100 m²","20
                        Yaşında","Bahçe Katı","Bahçeli 2+1","İstanbul / Beykoz / Rüzgarlıbahçe Mah.","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/1/6/6/2/4/4/1740853717-348301-44266188.jpeg","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-veysel-karani-kiralik/daire/136181-760","33","32.000","25-02-2025","İstanbul Kiralık Daire","1 +
                          1","87 m²","5
                        Yaşında","5. Kat","Turyap Premium Selçuklu Vadi Sitesi 1+1 Balkon&depo Boş Arakat","İstanbul / Sancaktepe / Veysel Karani Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/turyap-premium-sancaktepe-136181","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/1/5/4/2/4/4/58c07d3d-5b43-4671-9ff7-fec523fba664.jpg","Turyap Premıum Sancaktepe","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/1/6/3/1/2e895ccd-83bc-44fb-a1a3-f6422f89b46c.jpg"
"https://www.hepsiemlak.com/istanbul-eyupsultan-esentepe-kiralik/daire/0-44246626","24","28.000","26-02-2025","İstanbul Kiralık Daire","3 +
                          1","156 m²","10
                        Yaşında","Teras Katı","Sahibinden Kiralık 2+1 Dubleks","İstanbul / Eyüpsultan / Esentepe Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/6/6/4/2/4/4/1740507285981-44246626.jpg","",""
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/85060-811","37","38.000","25-02-2025","İstanbul Kiralık Daire","2 +
                          1","90 m²","36
                        Yaşında","5. Kat","Dikilitaş'ta Manzaralı, 2+1 Kombili, Kullanıma Hazır, 5.Kat, Temiz Daire","İstanbul / Beşiktaş / Dikilitaş Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/7/4/4/2/4/4/e0cdc93f-bf67-4137-a05f-94b200a4160c.jpg","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-nisantepe-kiralik/daire/4596-4911","55","32.500","25-02-2025","İstanbul Kiralık Daire","1 +
                          1","77 m²","4
                        Yaşında","Bahçe Katı","Nef Çekmeköy Kiralık 1,5+1 Bahçe Kat Özyeğin Üniv ‘tamer Karvan’","İstanbul / Çekmeköy / Nişantepe Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/3/5/4/2/4/4/0196ba0e-ceee-4b8d-a675-8152a08e15d5.jpg","",""
"https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/daire/132277-333","17","26.000","25-02-2025","İstanbul Kiralık Daire","2 +
                          1","60 m²","10
                        Yaşında","En Üst Kat","Göktun'dan 2+1 Full Eşyalı Merkezi Konum Bekar-Aile Uygun","İstanbul / Kağıthane / Ortabayır Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/7/5/4/2/4/4/1740492934-195579-44245777.jpeg","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-basaksehir-kiralik/daire/139407-618","25","25.500","25-02-2025","İstanbul Kiralık Daire","1 +
                          1","44 m²","7
                        Yaşında","Ara Kat","Air Başakşehir Residence 1+1 Eşyalı Kiralık Daire- New Inn (487)","İstanbul / Başakşehir / Başakşehir Mah.","","","","https://www.hepsiemlak.com/emlak-ofisi/new-inn-turizm-ve-otelcilik-anonim-sirketi-139407","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/8/1/3/4/2/4/4/24f51848-39cc-4678-ae7a-530c221fbc63.jpg","New Inn Turizm Ve Otelcilik Anonim Şirketi","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/4/9/3/1/ee70ff6c-e158-4b4d-b5d8-552c822af494.jpg"
"https://www.hepsiemlak.com/istanbul-esenyurt-sultaniye-kiralik/daire/145353-144","16","15.000","24-02-2025","İstanbul Kiralık Daire","1 +
                          1","95 m²","8
                        Yaşında","4. Kat","Esenyurt Meydanda Ultra Lüks Eşyalı Rezidans","İstanbul / Esenyurt / Sultaniye Mah.","","","","https://www.hepsiemlak.com/emlak-ofisi/rota-yapi-gayrimenkul-145353","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/0/9/3/2/4/4/1740388385278-44239002.jpg","Rota Yapı Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/5/3/5/4/1/e58ff98e-3e3c-4c2f-aba2-7cbbe36641f5.jpg"
"https://www.hepsiemlak.com/istanbul-sancaktepe-emek-kiralik/daire/122732-636","44","29.000","04-03-2025","İstanbul Kiralık Daire","1 +
                          1","68 m²","5
                        Yaşında","6. Kat","Dorelife Sitesinde Eşyalı 1+1 Kiralık Daire 6.Kat Havuz Cephe","İstanbul / Sancaktepe / Emek Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/1/0/4/2/4/4/47ed3a5c-64c6-4f73-b966-e1ab0a503906.jpg","",""
"https://www.hepsiemlak.com/istanbul-maltepe-altaycesme-kiralik/daire/1158-2672","58","39.000","24-02-2025","İstanbul Kiralık Daire","3 +
                          1","95 m²","17
                        Yaşında","Giriş Katı","Altayçeşme Genç Bina Metroya 2dk Otoparklı Kombili Masrafsız 3+1","İstanbul / Maltepe / Altayçeşme Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/mimarlar-emlak-1158","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/1/8/3/2/4/4/3223ec2a-912e-4aee-934e-91da57e5a5d0.jpg","Mimarlar Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/1/1/0/0/06420d65-921a-4e40-8757-1ac1b4e9d9b8.jpg"
"https://www.hepsiemlak.com/istanbul-gaziosmanpasa-baglarbasi-kiralik/daire/60707-425","30","20.000","23-02-2025","İstanbul Kiralık Daire","1 +
                          1","56 m²","2
                        Yaşında","Ara Kat","Bağlarbaşı Mah. 7/b Vadi Evleri 6.Kısım Kiralık 56m2 Site İçi Daire 1+1 Ve 9.Arakat","İstanbul / Gaziosmanpaşa / Bağlarbaşı Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/gaziosmanpasa-emlak-danismanligi-60707","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/1/7/3/2/4/4/93385a85-b128-4ca5-a1ec-6f4eaca7d97d.jpg","Gaziosmanpaşa Emlak Danışmanlığı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/7/0/6/0/2f2d07db-da5d-4a78-9adb-033aad5ffdc4.jpg"
