"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-kiralik/daire/3450-690","33","26.500","03-03-2025","1 +
                          1","65 m²","14
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul Lounge 1 Sitesinde Bahçe Katı Kiralık Eşyalı Daire","İstanbul / Küçükçekmece / Atakent Mah.","","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-feneryolu-kiralik/daire/120423-836","39","65.000","03-03-2025","2 +
                          1","102 m²","Sıfır Bina","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kadıköy Feneryolu'nda Bağdat Cad. & Marmaray'a Komşu Sıfır Binada 2+1 Mükemmel Kiralık","İstanbul / Kadıköy / Feneryolu Mah.","https://www.hepsiemlak.com/emlak-ofisi/hakan-ercan-pusula-gayrimenkul-120423","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/2/4/0/2/1/3b4adc1e-3202-48af-80ec-bbcdddddaa3e.jpg","Hakan Ercan Pusula Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-buyukcekmece-sinanoba-kiralik/daire/124862-1137","60","40.000","27-02-2025","3 +
                          1","145 m²","19
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Büyükçekmece Sinanoba Full Eşyalı 3+1 Kiralık Daire","İstanbul / Büyükçekmece / Sinanoba Mah.","https://www.hepsiemlak.com/emlak-ofisi/akin-gayrimenkul-124862","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/6/8/4/2/1/c69d48b8-d623-4613-9945-957799c4ca32.jpg","Akın Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-sultangazi-cebeci-kiralik/daire/152078-38","22","22.000","02-03-2025","3 +
                          1","130 m²","15
                        Yaşında","4. Kat","","","","Cebeci Mah. 3+1 Çift Balkonlu Masrafsız Daire","İstanbul / Sultangazi / Cebeci Mah.","https://www.hepsiemlak.com/emlak-ofisi/emek-yapi-insaat-152078","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/2/6/2/3/2/4/4/1740222837216-44232628.jpg","Emek Yapı İnşaat","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/7/0/2/5/1/4fbf214a-5eda-4a72-8121-056462722d8a.jpg"
"https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/104642-2681","36","60.000","03-03-2025","3 +
                          1","120 m²","30
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Beyoğlu Cihangir 3+1 Kiralık Daire Geniş Ve Ferah Eşyalı","İstanbul / Beyoğlu / Cihangir Mah.","https://www.hepsiemlak.com/emlak-ofisi/realtyone-property-management-104642","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/4/7/1/2/4/4/0384203d-17e8-4f53-999b-1e733ea9b77f.jpg","Realtyone Property Management","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/4/6/4/0/1/2f8a8129-2cfb-4bdb-a379-651cd2cc8528.jpg"
"https://www.hepsiemlak.com/istanbul-kagithane-harmantepe-kiralik/daire/151395-9","16","29.500","28-02-2025","2 +
                          2","90 m²","5
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kağıthane Harmantepe'de Müstakil Girişli Eşyalı 2+2 Dubleks Kiralık Daire","İstanbul / Kağıthane / Harmantepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/turna-gayrimenkul-151395/caglar-ocal-4278121","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/0/0/1/2/4/4/1739878970-074028-44210057.jpeg","Turna Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/2/1/8/7/2/4/0287a37d-22de-41fb-8059-1fcca024498b.jpg"
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/1094-4968","37","50.000","28-02-2025","3 +
                          1","135 m²","28
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Dikilitaş Meydana Yakın 3+1 Temiz Daire","İstanbul / Beşiktaş / Dikilitaş Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/9/2/0/2/4/4/9af1f7c5-2a17-470e-be36-7d5e06d0c94b.jpg","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-cobancesme-kiralik/daire/81705-11156","32","18.000","02-03-2025","2 +
                          1","95 m²","30
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Çobançeşme Molla Gürani Cami Yakını 2+1 Kiralık Daire","İstanbul / Bahçelievler / Çobançeşme Mah.","https://www.hepsiemlak.com/emlak-ofisi/aydinlar-emlak-insaat-81705","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/5/4/9/1/4/4/dd6db1bf-61f8-414a-84de-9a18c465872e.jpg","Aydınlar Emlak & İnşaat","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/0/7/1/8/0/31052dba-63ee-4788-af30-416223dfe017.jpg"
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/130884-372","19","26.000","03-03-2025","2 +
                          1","85 m²","20
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Mecidiyeköy Meydana 10 Dk. Yokuşsuz","İstanbul / Şişli / Gülbahar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/6/1/8/1/4/4/1739380982-317055-44181652.jpeg","",""
"https://www.hepsiemlak.com/istanbul-atasehir-ataturk-kiralik/daire/103274-1164","35","45.000","02-03-2025","3 +
                          1","124 m²","31
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Next House'dan,Ataşehir'de,Sedef Sitesinde,Otoparklı,Tadilatlı,3+1","İstanbul / Ataşehir / Atatürk Mah.","https://www.hepsiemlak.com/emlak-ofisi/next-house-bahcelievler-103274","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/5/0/8/1/4/4/87383457-3d1d-4c07-a0ef-9403b5d7f833.jpg","Next House Bahçelievler","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/2/3/0/1/04c26ab7-57d0-4233-9a78-36b4b1da972f.jpg"
"https://www.hepsiemlak.com/istanbul-kadikoy-caferaga-kiralik/daire/138823-186","25","45.000","03-03-2025","1 +
                          1","60 m²","5
                        Yaşında","Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kadıköy'de Yoğurtçu Parkına Komşu, 5 Yaşında Binada Full Eşyalı  1+1 Ters Dubleks Kiralık Daire","İstanbul / Kadıköy / Caferağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/hakan-ercan-pusula-gayrimenkul-138823","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/5/2/7/1/4/4/e7b4d7c9-2745-4b9a-9c0f-125853b9faad.jpg","Hakan Ercan Pusula Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/2/8/8/3/1/5a019506-be94-45b7-99db-40c9f148fc3d.jpg"
"https://www.hepsiemlak.com/istanbul-atasehir-ataturk-kiralik/daire/1770-23612","36","49.500","03-03-2025","2 +
                          1","110 m²","25
                        Yaşında","7. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ataşehir De Kiralık Daire Eşyalı Mobilyalı 2+1 110  M2 İçi Yeni","İstanbul / Ataşehir / Atatürk Mah.","https://www.hepsiemlak.com/emlak-ofisi/atacity-emlak-1770","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/5/5/7/1/4/4/6a4a4404-e5a8-4693-ad11-0be8e03ae10b.jpg","Atacity Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/7/1/0/0/1a28a88e-9df7-4589-bc0a-68a6ab09d9ad.jpg"
