"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","eids-badge__description","he-lazy-image src","eids-badge__label","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/daire/5924-2283","16","25.000","26-02-2025","1 +
                          1","80 m²","30
                        Yaşında","2. Kat","Şahin Sok. 1+1 Temiz 2.Kat Kiralık Daire","İstanbul / Şişli / Feriköy Mah.","","","","","","",""
"https://www.hepsiemlak.com/istanbul-bagcilar-demirkapi-kiralik/daire/124849-237","16","11.000","04-03-2025","2 +
                          1","85 m²","35
                        Yaşında","Giriş Katı","Bağcılar Demirkapı Da 2x1 Yüksek Giriş Doğalgaz Yok Acil Kiralık","İstanbul / Bağcılar / Demirkapı Mah.","","","","","","",""
"https://www.hepsiemlak.com/istanbul-fatih-sehremini-kiralik/daire/129481-1045","14","18.000","04-03-2025","2 +
                          1","90 m²","35
                        Yaşında","Yüksek Giriş","Vıp Gayrimenkul'den Fatih Çapa Şehremini Mahallesi Dingil Sokakta 2+1 Yüksek Giriş 85m2 Mart Sonu Bo","İstanbul / Fatih / Şehremini Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/vip-gayrimenkul-sehremini-129481/necmettin-yildirim-3271647","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/4/6/1/7/2/3/4016dd02-8805-4f45-a3ad-0aa5239944e6.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/4/9/2/1/a8cc1c3d-a53a-4697-af84-40d52ac34223.jpg","Vıp Gayrimenkul Şehremini"
"https://www.hepsiemlak.com/istanbul-uskudar-kandilli-kiralik/daire/28284-3765","27","65.000","26-02-2025","3 +
                          1","130 m²","Sıfır Bina","2. Kat","Üsküdar Kandilli'de Sıfır Bina'da 110m² Net 3+1 Kiralık Daire","İstanbul / Üsküdar / Kandilli Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/ac-gayrimenkul-28284","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/2/7/6/4/1/4/4/1abf9ce9-5d74-4ed7-8e48-36d6fe287730.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/8/2/8/2/0/c878aa42-b654-4061-9541-cdd35f8bf752.jpg","Ac Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/104642-2627","18","70.000","03-03-2025","2 +
                          1","151 m²","90
                        Yaşında","Bahçe Katı","Beyoğlu Kiralık Daire Cihangir Caddesi'nde 2+1 Dubleks Bahçe Katı Ofis Olmaya Uygun","İstanbul / Beyoğlu / Cihangir Mah.","","","","https://www.hepsiemlak.com/emlak-ofisi/realtyone-property-management-104642","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/4/1/3/7/3/4/3f756db8-67e7-40a1-bb12-b38ac14d1646.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/4/6/4/0/1/2f8a8129-2cfb-4bdb-a379-651cd2cc8528.jpg","Realtyone Property Management"
"https://www.hepsiemlak.com/istanbul-maltepe-girne-kiralik/daire/92549-218","15","39.000","04-03-2025","3 +
                          1","130 m²","11
                        Yaşında","3. Kat","Maltepe De Kiralık Geniş Daire","İstanbul / Maltepe / Girne Mah.","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/7/2/2/0/4/4/388114c2-a358-45a9-90e7-f3c446f94fc9.jpg","",""
"https://www.hepsiemlak.com/istanbul-uskudar-aziz-mahmut-hudayi-kiralik/daire/51556-4142","27","32.000","03-03-2025","3 +
                          1","80 m²","45
                        Yaşında","2. Kat","Doğancılar'da Masrafsız Kombili Kiralık Daire","İstanbul / Üsküdar / Aziz Mahmut Hüdayi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/cadde-divan-gayrimenkul-51556","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/1/5/6/2/4/4/6d561cb4-e656-426a-91e6-cc2c9efab900.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/5/1/5/0/9e22414c-a742-411d-90cd-3797c9ab1686.jpg","Cadde Divan Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-sultangazi-75-yil-kiralik/daire/126578-295","23","18.000","28-02-2025","2 +
                          1","95 m²","20
                        Yaşında","5. Kat","Sultangazi'de Cadde Üzeri Merkezde Balkonlu 2+1 Daire","İstanbul / Sultangazi / 75. Yıl Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/4/1/9/1/4/4/1739539732039-44191463.jpg","",""
"https://www.hepsiemlak.com/istanbul-uskudar-valide-i-atik-kiralik/daire/42720-5943","35","27.000","27-02-2025","1 +
                          1","55 m²","Sıfır Bina","Bahçe Katı","As Emlak'tan 1+1 Sıfır Bağlarbaşı Caddeye Yakın Bahçeli Daire","İstanbul / Üsküdar / Valide-i Atik Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/8/3/5/2/4/4/8e6244f6-c43c-4863-bceb-213d157c152f.jpg","",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/4355-135509","35","35.000","04-03-2025","1 +
                          1","70 m²","8
                        Yaşında","1. Kat","Şişli Nef 25 Projesinde 1.Kat Ankastreli Büyük Tip Kiralık 1+1","İstanbul / Şişli / Gülbahar Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/realty-world-czm-gayrimenkul-4355","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/0/9/2/2/4/4/6f5ce182-677c-4c62-95c6-926b1c1d31b8.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/5/3/4/0/0/c81bdc3f-1e91-4462-a044-2b56b3597eb8.jpg","Realty World Czm Gayrimenkul"
