city,district,neighborhood,room,living room,area,age,floor,price
İstanbul, Sarıyer , Rumeli Kavağı Mah.,4,1,160,49,3,500
İstanbul, Beşiktaş , Levazım Mah.,3,1,110,40,3,600
İstanbul, Şişli , Gülbahar Mah.,2,1,90,19,3,220
İstanbul, Kartal , Cevizli Mah.,1,1,85,10,12,350
İstanbul, Şişli , Esentepe Mah.,3,1,200,14,7,2850
İstanbul, Esenyurt , Cumhuriyet Mah.,1,1,82,8,8,220
İstanbul, Sarıyer , Çayırbaşı Mah.,3,1,140,16,5,520
İstanbul, Kadıköy , Caferağa Mah.,4,1,180,15,2,1400
İstanbul, Şişli , Harbiye Mah.,3,1,150,30,4,2500
İstanbul, Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,82,6,8,220
İstanbul, Sarıyer , Ayazağa Mah.,1,1,85,10,2,650
İstanbul, Sarıyer , Zekeriyaköy Mah.,5,1,385,15,2,2300
İstanbul, Sarıyer , Emirgan Mah.,1,1,110,57,1,900
İstanbul, Eyüpsultan , Göktürk Merkez Mah.,3,1,172,1,3,1100
İstanbul, Üsküdar , Sultantepe Mah.,3,1,4125,30,5,1300
İstanbul, Beşiktaş , Bebek Mah.,2,1,110,40,4,1350
İstanbul, Eyüpsultan , Göktürk Merkez Mah.,4,0,230,1,1,1400
İstanbul, Üsküdar , Kuzguncuk Mah.,4,2,350,56,2,1650
İstanbul, Eyüpsultan , Göktürk Merkez Mah.,4,1,315,1,0,1700
İstanbul, Sarıyer , Sarıyer Merkez Mah.,5,1,220,60,0,2150
İstanbul, Üsküdar , Güzeltepe Mah.,4,1,234,2,2,2325
İstanbul, Beşiktaş , Bebek Mah.,3,1,230,60,5,2500
İstanbul, Eyüpsultan , Göktürk Merkez Mah.,6,2,950,0,2,2600
İstanbul, Şişli , Esentepe Mah.,4,1,700,18,18,5400
İstanbul, Bahçelievler , Bahçelievler Mah.,5,1,220,37,9,650
İstanbul, Esenyurt , Cumhuriyet Mah.,1,1,82,5,12,220
İstanbul, Pendik , Yenişehir Mah.,3,1,120,22,2,260
İstanbul, Esenyurt , Aşık Veysel Mah.,3,1,145,26,2,235
İstanbul, Bahçelievler , Siyavuşpaşa Mah.,2,1,70,2,0,250
İstanbul, Beyoğlu , Kadımehmet Efendi Mah.,2,1,85,15,1,190
İstanbul, Sarıyer , Emirgan Mah.,4,1,160,54,0,1500
İstanbul, Sarıyer , Zekeriyaköy Mah.,7,2,350,14,2,1950
İstanbul, Esenyurt , Süleymaniye Mah.,2,1,85,5,1,140
İstanbul, Sarıyer , Tarabya Mah.,4,1,220,30,2,1900
İstanbul, Sarıyer , Kumköy Mah.,4,2,580,12,2,2450
İstanbul, Sarıyer , Zekeriyaköy Mah.,5,1,400,11,2,2500
İstanbul, Sarıyer , Uskumruköy Mah.,4,1,270,6,2,1550
İstanbul, Kartal , Yukarı Mah.,3,1,119,40,2,229
İstanbul, Kağıthane , Gürsel Mah.,3,1,120,30,1,280
İstanbul, Beşiktaş , Muradiye Mah.,3,1,120,35,5,500
